ISIN,Code,SYMBOL,SERIES,EXCH,SYMBOL2,,Symbol3
INE0TNX01015,REFRACTORY,REFRACTORY,SM,NSE,REFRACTORY,,REFRACTORY.NS
INE0MHO01029,REGAAL,REGAAL,EQ,NSE,REGAAL,,REGAAL.NS
INE277C01012,REGENCERAM,REGENCERAM,EQ,NSE,REGENCERAM,,REGENCERAM.NS
INE131B01039,RELAXO,RELAXO,EQ,NSE,RELAXO,,RELAXO.NS
INE750D01016,RELCHEMQ,RELCHEMQ,EQ,NSE,RELCHEMQ,,RELCHEMQ.NS
INE046A01015,RIIL,RIIL,EQ,NSE,RIIL,,RIIL.NS
INE002A01018,RELIANCE,RELIANCE,EQ,NSE,RELIANCE,,RELIANCE.NS
INE621H01010,RELIGARE,RELIGARE,EQ,NSE,RELIGARE,,RELIGARE.NS
INE474C01023,REMSONSIND,REMSONSIND,EQ,NSE,REMSONSIND,,REMSONSIND.NS
INE0O5T01011,REMUS,REMUS,SM,NSE,REMUS,,REMUS.NS
INE722H01024,RGL,RGL,EQ,NSE,RGL,,RGL.NS
INE0VZX01015,RNPL,RNPL,SM,NSE,RNPL,,RNPL.NS
INE612J01015,REPCOHOME,REPCOHOME,EQ,NSE,REPCOHOME,,REPCOHOME.NS
INE461B01014,REPRO,REPRO,EQ,NSE,REPRO,,REPRO.NS
INE688D01026,RESPONIND,RESPONIND,EQ,NSE,RESPONIND,,RESPONIND.NS
INE07T201019,RBA,RBA,EQ,NSE,RBA,,RBA.NS
INE0DAB01012,RVTH,RVTH,EQ,NSE,RVTH,,RVTH.NS
INE743M01012,RHIM,RHIM,EQ,NSE,RHIM,,RHIM.NS
INE0J1P01015,RICHA,RICHA,SM,NSE,RICHA,,RICHA.NS
INE209B01025,RICOAUTO,RICOAUTO,EQ,NSE,RICOAUTO,,RICOAUTO.NS
INE0N2P01017,RISHABH,RISHABH,EQ,NSE,RISHABH,,RISHABH.NS
INE01EG01016,RITCO,RITCO,EQ,NSE,RITCO,,RITCO.NS
INE320J01015,RITES,RITES,EQ,NSE,RITES,,RITES.NS
INE786W01010,RKEC,RKEC,EQ,NSE,RKEC,,RKEC.NS
INE0SA001017,RNFI,RNFI,SM,NSE,RNFI,,RNFI.NS
INE508K01013,RHL,RHL,EQ,NSE,RHL,,RHL.NS
INE0PTR01012,ROCKINGDCE,ROCKINGDCE,SM,NSE,ROCKINGDCE,,ROCKINGDCE.NS
INE645S01016,ROLEXRINGS,ROLEXRINGS,EQ,NSE,ROLEXRINGS,,ROLEXRINGS.NS
INE293A01013,ROLTA,ROLTA,BZ,NSE,ROLTA,,ROLTA.NS
INE02A801020,ROSSARI,ROSSARI,EQ,NSE,ROSSARI,,ROSSARI.NS
INE847C01020,ROSSELLIND,ROSSELLIND,EQ,NSE,ROSSELLIND,,ROSSELLIND.NS
INE0OJW01016,ROSSTECH,ROSSTECH,EQ,NSE,ROSSTECH,,ROSSTECH.NS
INE535D01037,ROTO,ROTO,EQ,NSE,ROTO,,ROTO.NS
INE450U01017,ROUTE,ROUTE,EQ,NSE,ROUTE,,ROUTE.NS
INE0PDJ01013,ROXHITECH,ROXHITECH,SM,NSE,ROXHITECH,,ROXHITECH.NS
